LogID,LineID,LogTime,LoggedValue,CmdType,Description,UnitType
3,LBlue,06/10/2021 19:47:39,208.5,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:59:57,222.5,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 20:07:17,231.8,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 20:28:35,245.7,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 20:36:04,255,4,תפוקת קו,Kg/h
3,LBlue,08/10/2021 23:44:46,241.3,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 00:19:53,232,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 00:21:02,222.4,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 05:09:31,138.5,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 05:10:02,0,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:07:45,208.5,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:09:05,0,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:35:12,129.2,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:35:52,208.4,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:36:22,0,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:53:29,129.2,4,תפוקת קו,Kg/h
3,LBlue,09/10/2021 11:54:00,208.3,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:14:27,0,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:41:37,129.2,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:42:16,162.2,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:42:56,0,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:50:27,106.3,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:51:07,162.1,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 05:51:46,0,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 06:01:57,65.1,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 06:02:36,134.4,4,תפוקת קו,Kg/h
3,LBlue,10/10/2021 06:03:16,162.5,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 09:44:51,0,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 09:55:12,129.2,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 09:55:42,162.5,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 14:36:32,0,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 15:15:18,129.3,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 15:15:58,162.4,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 15:16:38,0,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 15:22:48,129.3,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 15:23:28,162.4,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 23:26:59,67.7,4,תפוקת קו,Kg/h
3,LBlue,11/10/2021 23:27:38,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 10:01:27,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:04:45,208.4,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:06:35,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:18:14,129.2,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:18:44,208.4,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:20:04,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:27:44,81,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:28:14,163.1,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:28:54,208.3,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:35:34,232,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 13:58:23,241.2,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:01:01,0,4,תפוקת קו,Kg/h
